Ten Cong Ty,Ten Quan Tri,Ma So Thue,Dia Chi,Nguoi Dai Dien,Phone,Ngay Hoat Dong,Quan Ly,Loai Hinh,Tinh Trang
CÔNG TY TNHH DỊCH VỤ VẬN CHUYỂN RẠCH SỎI EXPRESS,RACH SOI EXPRESS TRANSPORTATION SERVICES COMPANY LIMITED,"P48-Căn 6, đường số 36, khu đô thị Phú Cường, Phường An Hòa, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",,,2024-09-04,Chi cục Thuế Thành phố Rạch Giá,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TRÁCH NHIỆM HỮU HẠN XÂY DỰNG CÔNG TRÌNH THỦY THÁI SƠN,CÔNG TY TNHH XD CÔNG TRÌNH THỦY THÁI SƠN,"Số 36B đường Chu Văn An, Phường Vĩnh Lạc, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",,,2024-09-05,Chi cục Thuế Thành phố Rạch Giá,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH TM DV BÌNH AN PHÚ QUỐC,1702299939,,0817048343,,Chi cục Thuế thành phố Phú Quốc,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ ĐIỆN TỬ ĐIỆN LẠNH NHÀN NGUYỄN,1702300020,,0765923979,,Chi cục Thuế Thành phố Rạch Giá,,,,
CÔNG TY TNHH MARINABEIRA INTL SPG,1702299960,,0766858395,,Chi cục Thuế Thành phố Rạch Giá,,,,
CÔNG TY TNHH VẬN TẢI DU LỊCH VÀ BĐS QTP,1702299985,,0941555572,,Chi cục Thuế thành phố Phú Quốc,,,,
CÔNG TY TNHH DƯỢC VÀ THIẾT BỊ Y TẾ KGI,KGI PHARMACEUTICAL AND MEDICAL EQUIPMENT COMPANY LIMITED,1702299953,"Lô F4-13, Hoàng Văn Thụ, Phường Vĩnh Lạc, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",NGUYỄN ĐÌNH HIỀN,0937021178,2024-09-05,Chi cục Thuế Thành phố Rạch Giá,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH BỀN THỊNH PHÁT,1702299992,,0375877489,,Chi cục Thuế Huyện Giang Thành,,,,
CÔNG TY TNHH TƯ VẤN XÂY DỰNG PHƯƠNG NGHI,CTY TNHH TV XD PHƯƠNG NGHI,"Số 226, tổ 10, ấp Ngọc Lợi, Xã Ngọc Thành, Huyện Giồng Riềng, Tỉnh Kiên Giang, Việt Nam",,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN KIM THỊNH,CÔNG TY TNHH MTV KIM THỊNH,"C12 Căn 8, đường số 10, khu đô thị Tây Bắc, Phường Vĩnh Quang, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",,,,,,,
CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH THƯƠNG MẠI CYAN,CYAN TRADING BUSINESSMENT AND PRODUCTION COMPANY LIMITED,1702300006,"Tổ 5, Ấp Cây Thông Ngoài, Xã Cửa Dương, Thành phố Phú Quốc, Tỉnh Kiên Giang, Việt Nam",LÊ HOÀNG THUẬN,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THANH TUYẾT PHÚ QUỐC,THANH TUYET PHU QUOC SERVICES TRADING COMPANY LIMITED,"Tổ 3, Ấp Bãi Ngự, Xã Thổ Châu, Thành phố Phú Quốc, Tỉnh Kiên Giang, Việt Nam",,,,,,,
CÔNG TY CỔ PHẦN NGUYÊN LIỆU NGỌC THỊNH PHÁT,1702300013,,,,,,,,
CÔNG TY TNHH SX TM XD TÂY NAM WINDOW,TAY NAM WINDOW PRODUCTION TRADING CONSTRUCTION COMPANY LIMTED,1702300077,"Số 186, Ấp Vĩnh Thành B, Xã Vĩnh Hòa Hiệp, Huyện Châu Thành, Tỉnh Kiên Giang, Việt Nam",HUỲNH VĂN SOÀN,,,,,
CÔNG TY TNHH MAI HÂN RẠCH GIÁ,CTY TNHH MAI HÂN RG,"Số D3-37, Đường số 5 Khu đô thị Tây Bắc, Phường Vĩnh Thanh, Thành phố Rạch Giá, Tỉnh Kiên Giang, Việt Nam",,,,,,,
CÔNG TY TNHH ĐẦU TƯ NGỌC MINH HIỀN,6101298369,,0386376799,,Cục Thuế Tỉnh Kon Tum,,,,
CÔNG TY TNHH HOÀNG PHÁT MĂNG ĐEN,6101298351,,0775235660,,Chi cục Thuế khu vực số 01,,,,
CÔNG TY TRÁCH NHIỆM HỮU HẠN IN - QUẢNG CÁO CONAN,CÔNG TY TNHH IN - QUẢNG CÁO CONAN,"176 Đống Đa, TDP 7, Phường Thắng Lợi, Thành phố Kon Tum, Tỉnh Kon Tum, Việt Nam",,,2024-07-23,Chi cục Thuế Thành phố Kon Tum,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH ĐT-XD-TM ĐÔNG SƠN,6101298390,,0967666136,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY TNHH THƯƠNG MẠI - DỊCH VỤ VIỆT THÀNH KT,6101298400,,0988 793 836,,Cục Thuế Tỉnh Kon Tum,,,,
CÔNG TY TNHH TIỀN PHONG GROUP,6101298425,,0905567729,,Cục Thuế Tỉnh Kon Tum,,,,
CÔNG TY TNHH FUJI FARM,"Fuji Farm Co., Ltd",6101298432,"Thôn Tân Lập A, Xã Đắk Hring, Huyện Đắk Hà, Tỉnh Kon Tum, Việt Nam",ĐINH VĂN SĨ,0984993198,2024-08-01,Chi cục Thuế khu vực số 02,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI THƯƠNG LỘC PHÁT,6101298418,,0935835637,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY TNHH NHA KHOA QUỐC TẾ CITY DENTAL SMILE,6101298471,,0972967962,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY CỔ PHẦN TRUNG TÂM XÉT NGHIỆM GOLAB KON TUM,GOLAB KON TUM TEST CENTER JOINT STOCK COMPANY,6101298464,"Số 370 Đường Bà Triệu, Phường Quang Trung, Thành phố Kon Tum, Tỉnh Kon Tum, Việt Nam",MAI VĂN AN,0977755125,2024-08-08,Cục Thuế Tỉnh Kon Tum,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH GIÁO DỤC VÀ ĐÀO TẠO BEE EDU KON TUM,6101298489,,0969455217,,Chi cục Thuế Huyện Ngọc Hồi,,,,
CÔNG TY CP PHÁT TRIỂN XANH KON TUM ĐÀ NẴNG,KON TUM DA NANG GREEN DEVELOPMENT JOINT STOCK COMPANY,6101298457,"15 Lê Hữu Trác, Thị Trấn Đắk Hà, Huyện Đắk Hà, Tỉnh Kon Tum, Việt Nam",ĐÀM THỊ HOA,0977887797,2024-08-07,Cục Thuế Tỉnh Kon Tum,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH BẤT ĐỘNG SẢN MĂNG ĐEN,6101298496,,02603919379,,Chi cục Thuế khu vực số 01,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN NGỌC ĐƯỜNG ĐẮK HÀ,C.TY TNHH MTV NGỌC ĐƯỜNG ĐẮK HÀ,"Tổ dân phố 4B, Thị Trấn Đắk Hà, Huyện Đắk Hà, Tỉnh Kon Tum, Việt Nam",,,2024-08-08,Chi cục Thuế khu vực số 02,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH SPA ACADEMY LT,6101298520,,0903596558,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ PHÁT TRIỂN SÂM KBC,6101298538,,0387 728 034,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY TNHH MTV ANH KHOA ELC,6101298552,,0393106551,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY TNHH DỊCH VỤ NÔNG NGHIỆP NGỌC HỒI KON TUM,6101298577,,0986991697,,Chi cục Thuế Huyện Ngọc Hồi,,,,
CÔNG TY TNHH VIỄN THÔNG NAM NHIÊN,6101298591,,0933706707,,Chi cục Thuế khu vực số 02,,,,
CÔNG TY TNHH BÁCH HỢP MĂNG ĐEN,6101298601,,0773576777,,Chi cục Thuế khu vực số 01,,,,
CÔNG TY TNHH VIỆT THẮNG KON TUM,6101298619,,0937467067,,Cục Thuế Tỉnh Kon Tum,,,,
CÔNG TY TNHH HOÀNG GIA - MINH TRIẾT,ROYAL - WISDOM LIMITED COMPANY,6101298626,"112 Đường Sư Vạn Hạnh, Phường Duy Tân, Thành phố Kon Tum, Tỉnh Kon Tum, Việt Nam",TRẦN THỊ KIM TRANG,0975370736,2024-08-28,Cục Thuế Tỉnh Kon Tum,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TRÁCH NHIỆM HỮU HẠN TÂN XUÂN KON TUM,TAN XUAN KON TUM COMPANY LIMITED,6101298640,"Số nhà 38 đường Trần Nguyên Hãn, tổ 3 , Phường Duy Tân, Thành phố Kon Tum, Tỉnh Kon Tum, Việt Nam",NGUYỄN XUÂN TRƯỜNG,0938894707,2024-08-29,Chi cục Thuế Thành phố Kon Tum,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH ĐỒNG VI MĂNG ĐEN,6101298633,,0975388878,,Chi cục Thuế Thành phố Kon Tum,,,,
CÔNG TY TNHH MTV PVL KON TUM,6101298672,,,,,,,,
CÔNG TY CỔ PHẦN SẢN XUẤT TINH DẦU QUẾ MƯỜNG TÈ,6200123909,,0915577388,,Chi cục Thuế khu vực Mường Tè - Nậm Nhùn,,,,
CÔNG TY CỔ PHẦN CÔNG NGHỆ 5SAO LC25,6200123916,,1900636083,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ VẬN CHUYỂN LAI CHÂU,CÔNG TY TNHH TMDV VÀ VC LAI CHÂU,"số nhà 006, đường Trần Hưng Đạo, tổ 5, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",,,2024-07-04,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV THANH PHÚC,6200123948,,0941115000,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH SEACRET TẠI TỈNH LAI CHÂU,0314591956-022,,02873007566,,Cục Thuế Tỉnh Lai Châu,,,,
CÔNG TY TNHH MTV MINH NGÂN 68,6200123955,,0977182556,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY CỔ PHẦN GREEN ENERGY POWER 1,GREEN ENERGY POWER 1 JOINT STOCK COMPANY,6200123962,"Đường Điện Biên Phủ, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",NGUYỄN ĐÌNH TẤN,0912563282,2024-07-09,Cục Thuế Tỉnh Lai Châu,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
VĂN PHÒNG ĐẠI DIỆN CÔNG TY TNHH THƯƠNG MẠI LÔ HỘI TẠI LAI CHÂU,0302403742-051,,2024-06-07,,,,,,
CÔNG TY CỔ PHẦN KHOÁNG SẢN BT,BT MINERALS JOINT STOCK COMPANY,6200123994,"Tổ 03, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",VŨ CƯƠNG LĨNH,0913287255,2024-07-18,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN KHOA HỌC VTNN CHÈ TAM ĐƯỜNG,Tam Duong Tea Agricultural Materials Science Joint Stock Company,6200124003,"Tổ 1, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",TRẦN ĐỨC MINH,0901696156,2024-07-26,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MTV MINH ANH LAI CHÂU,6200124010,,0979790788,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH MTV HỒNG PHÁT TC,6200124028,,0983214289,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH MTV TRƯỜNG TÀI,6200124035,,0976088687,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
VĂN PHÒNG ĐẠI DIỆN CÔNG TY CỔ PHẦN GIÁO DỤC EZ VIỆT NAM TẠI LAI CHÂU,0107016161-015,,0986206877,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH MTV SẢN XUẤT VÀ XUẤT NHẬP KHẨU TRÀ OLOONG FANSIPAN,6200124067,,0966888775,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH MTV XÂY DỰNG TUÂN PHÁT,6200124081,,0973566047,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH MTV ĐĂNG PHÚC,6200124074,,0965601188,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ CAO AN PHÁT,6200124109,,0961614889,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY CỔ PHẦN ĐẦU TƯ CÔNG NGHỆ CAO ĐỨC THÀNH,6200124116,,0972144866,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY CỔ PHẦN CHẾ BIẾN NÔNG SẢN THAN UYÊN,THAN UYEN AGRICULTURAL PRODUCT PROCESSING JOINT STOCK COMPANY,"Bản Nà Phạm, Xã Mường Kim, Huyện Than Uyên, Tỉnh Lai Châu, Việt Nam",,,2024-08-08,Cục Thuế Tỉnh Lai Châu,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH CÔNG NGHỆ VÀ VẬN CHUYỂN PHONG THỔ,6200124148,,0912229510,,Chi cục Thuế khu vực Phong Thổ - Sìn Hồ,,,,
CÔNG TY TNHH GOLDSEA GROUP,GOLDSEA GROUP COMPANY LIMITED,6200124155,"Số nhà 292, đường Nguyễn Trãi, bản Nậm Loỏng 3, Phường Quyết Thắng, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",DƯƠNG MINH ĐỨC,0987197444,2024-08-23,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN PHÁT TRIỂN GIÁO DỤC ARMY LAI CHÂU,ARMY LAI CHAU EDUCATION DEVELOPMENT JOINT STOCK COMPANY,"Số nhà 083, đường Trần Hưng Đạo, Phường Đoàn Kết, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",,,2024-08-26,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV CÁ TẦM BẢN BO,6200124187,,0377638390,,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,,,
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI DƯỢC LIỆU KIM CƯƠNG,KIM CUONG PHARMACEUTICAL HERBS PRODUCTION AND TRADING COMPANY LIMITED,"Số 383 đường Nguyễn Hữu Thọ, Phường Tân Phong, Thành phố Lai Châu, Tỉnh Lai Châu, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Thành phố Lai Châu - Tam Đường,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT JCN,JCN TRADING AND PRODUCTION COMPANY LIMITED,5801522832,"55 Trần Nhân Tông, Thị Trấn Liên Nghĩa, Huyện Đức Trọng, Tỉnh Lâm Đồng, Việt Nam",NGUYỄN THỊ KIM TRANG,0777028885,2024-08-27,Chi cục Thuế khu vực Đức Trọng - Đơn Dương,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY CỔ PHẦN THỰC PHẨM NHẬT MINH - CHI NHÁNH LÂM ĐỒNG,0105945390-003,,2024-08-23,,,,,,
CÔNG TY TNHH DL&VT XUÂN BÌNH,XUAN BINH DL&VT COMPANY LIMITED,5801522906,"Số 254 đường Nguyễn Tử Lực, Phường 8, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",NGUYỄN XUÂN BÌNH,0961949777,2024-08-29,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THỰC PHẨM RAU CỦ QUẢ LINH ĐAN,5801522871,,0364080073,,Chi cục Thuế khu vực Đức Trọng - Đơn Dương,,,,
CÔNG TY TNHH ĐẦU TƯ SẢN XUẤT THƯƠNG MẠI PHƯƠNG LÂM,PHUONG LAM PRODUCTION TRADING INVESTMENT COMPANY LIMITED,"550 Trần Phú, Phường Lộc Tiến, Thành phố Bảo Lộc, Tỉnh Lâm Đồng, Việt Nam",,,2024-08-29,Chi cục Thuế khu vực Bảo Lộc - Bảo Lâm,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TRÁCH NHIỆM HỮU HẠN KHOA HỌC AZADI,5801522896,,0896 161 666,,Chi cục Thuế khu vực Bảo Lộc - Bảo Lâm,,,,
CHI NHÁNH CÔNG TY TNHH CƠ KHÍ XÂY DỰNG VÀ THƯƠNG MẠI BẢO ANH,5801501159-001,,2024-08-12,,,,,,
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ THỰC PHẨM BẾP VIỆT - BẾP VIỆT FOOD,5801522920,,0908474567,,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,,,,
CÔNG TY CỔ PHẦN ĐẠI LÂM PHÚ DL,DAI LAM PHU DL JOINT STOCK COMPANY,5801522913,"Quầy số 4-TR-04, Tầng 1, Trung Tâm Thương Mại - Đà Lạt Center, Số 10 Phan Bội Châu, Phường 1, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",TRẦN THỊ LIÊN,0913 922 637,2024-08-30,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH MOTOR SOUTHERN STAR,MOTOR SOUTHERN STAR COMPANY LIMITED,5801522977,"Số 210 Nguyễn Công Trứ, Phường 2, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",ĐỖ THÀNH TÍN,0797 346 699,2024-08-30,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI NHÂN - PHƯƠNG ĐÔNG,"NHÂN PHƯƠNG ĐÔNG CO.,LTD","Thôn Tân Trung, Xã Tân Hội, Huyện Đức Trọng, Tỉnh Lâm Đồng, Việt Nam",,,2024-08-30,Chi cục Thuế khu vực Đức Trọng - Đơn Dương,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH LÂM ĐỒNG - CÔNG TY TNHH HAI AN ESPORTS,3801291074-001,,0939851512,,Chi cục Thuế khu vực Bảo Lộc - Bảo Lâm,,,,
CHI NHÁNH CÔNG TY TNHH FRAIS VIỆT NAM,0315385339-001,,0902563638,,Chi cục Thuế khu vực Bảo Lộc - Bảo Lâm,,,,
CÔNG TY CỔ PHẦN KTT - VĂN PHÒNG ĐẠI DIỆN TẠI LÂM ĐỒNG,0201607411-001,,2024-08-19,,,,,,
CÔNG TY TNHH MỘT THÀNH VIÊN ONE HEALTH – CHI NHÁNH KẺ ÔM MƠ ĐÀ LẠT,ONE HEALTH COMPANY LIMITED – KE OM MO DA LAT BRANCH,"Số 143, Hoàng Hoa Thám (hẻm 31), Phường 10, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",,,2024-08-12,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,,Đang hoạt động (đã được cấp GCN ĐKT),
CHI NHÁNH - CÔNG TY CỔ PHẦN ĐẦU TƯ - THƯƠNG MẠI - DỊCH VỤ SÁU PHONG,0305363329-011,,0335916868,,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,,,,
CHI NHÁNH CÔNG TY TNHH NỆM THẮNG LỢI – CỬA HÀNG Ở LÂM ĐỒNG,0314243042-016,,097 888 7778,,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,,,,
CHI NHÁNH SỐ 01 - CÔNG TY TNHH BTB INTERNATIONAL,0402009669-003,,2024-08-08,,,,,,
CÔNG TY CỔ PHẦN DRA FARM,5801523018,,08 1800 0045,,Chi cục Thuế khu vực Lâm Hà - Đam rông,,,,
CÔNG TY TNHH HM FRESH VEGETABLES,HM FRESH VEGETABLES COMPANY LIMITED,5801523025,"Số 82 Trạng Trình, Phường 9, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",LÊ NGUYỄN HOÀI MINH,,,,,
CÔNG TY TNHH LE MACARON CITY GARDEN,LE MACARON CITY GARDEN COMPANY LIMITED,5801522984,"116 Thi Sách, Phường 6, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",LÊ THỊ HÂN,,,,,
CÔNG TY TNHH TMDV VẬN TẢI THIÊN AN,5801523032,,,,,,,,
CÔNG TY TNHH TỈNH NÔNG SẢN,5801523000,,,,,,,,
CÔNG TY TNHH THƯƠNG MẠI PHONG THỦY ĐẠI NAM - CHI NHÁNH LÂM ĐỒNG 1,DAI NAM FENGSHUI COMMERCE COMPANY LIMITED – LAM DONG 1 BRANCH,0202221629-010,"Lô A14 KQH Bạch Đằng – Ngô Quyền, Phường 6, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",TRẦN TRỌNG NHÀN,0936855713,2024-08-08,Chi cục Thuế khu vực Đà Lạt - Lạc Dương,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH THỔ DÂN TRAVEL,THO DAN TRAVEL COMPANY LIMITED,5801523057,"E30 Khu quy hoạch Phạm Hồng Thái, Phường 10, Thành phố Đà Lạt, Tỉnh Lâm Đồng, Việt Nam",THÂN NGỌC THIÊN,,,,,
CÔNG TY TNHH KINH DOANH VẬN TẢI XÂY DỰNG XUÂN TRƯỜNG,XUAN TRUONG CONSTRUCTION TRANSPORT BUSINESS COMPANY LIMITED,"279 đường Bắc Sơn, Phường Hoàng Văn Thụ, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",,,2024-08-27,Chi cục Thuế Thành phố Lạng Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV KHÔI QUÂN,KHOI QUAN ONE MEMBER COMPANY LIMITED.,4900914250,"Số 10/20, đường Chu Văn An, Phường Đông Kinh, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",LÂM KIỀU CHINH,0988 882 562,2024-08-28,Chi cục Thuế Thành phố Lạng Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH SẢN XUẤT VÀ KINH DOANH XNK TRÀ MY,4900914211,,0926616284,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH XUẤT NHẬP KHẨU CÔNG NGHỆ ĐẠI AN LS,4900914236,,0931503711,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH KINH DOANH SẢN XUẤT NAM HÀ,4900914229,,0826001195,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH MTV KIỀU CHINH,KIEU CHINH ONE MEMBER COMPANY LIMITED,"Số Nhà 25B, Đường Nguyễn Phi Khanh, Phường Tam Thanh, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",,,2024-08-28,Chi cục Thuế Thành phố Lạng Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH MTV HẰNG PHI,HANG PHI ONE MEMBER COMPANY LIMITED.,4900914282,"Số 9/110, đường Phai Luông, Phường Chi Lăng, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",LÊ THỊ HẰNG,0334 241 122,2024-08-29,Chi cục Thuế Thành phố Lạng Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH KINH DOANH SẢN XUẤT VTCN HOÀNG NGUYÊN,4900914204,,0926774407,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH VIỆT TRUNG HÒA VINA,VIET TRUNG HOA VINA COMPANY LIMITED,4900914187,"Số 5 Đường Tây Sơn, Phường Hoàng Văn Thụ, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",TRƯƠNG VĂN YÊN,0824739227,2024-08-28,Chi cục Thuế Thành phố Lạng Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH CỬA HÀNG BÁCH HÓA SHENGSHI,SHENGSHI DEPARTMENT STORE COMPANY LIMITED,4900914317,"Số 686 Đường Bà Triệu, Phường Đông Kinh, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",TRƯƠNG VĂN YÊN,0833710148,2024-08-29,Chi cục Thuế Thành phố Lạng Sơn,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT)
CÔNG TY TNHH DỊCH VỤ THƯƠNG MẠI TỔNG HỢP THUỶ VŨ,THUY VU GENERAL TRADING SERVICES COMPANY LIMITED,"Số Nhà 36Đ, Ngõ 38, Đường Tô Thị, Phường Tam Thanh, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",,,2024-08-29,Chi cục Thuế Thành phố Lạng Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
CÔNG TY TNHH KINH DOANH ĐẦU TƯ THƯƠNG MẠI VẤN TẢI THANH HIẾU,4900914395,,0926774513,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH KINH DOANH VÀ SẢN XUẤT HOÀNG BÁCH,4900914388,,0974588276,,Chi cục Thuế Huyện Cao Lộc,,,,
CÔNG TY TNHH SẢN XUẤT TMTH VĂN PHƯƠNG,4900914370,,0976112853,,Chi cục Thuế Thành phố Lạng Sơn,,,,
CÔNG TY TNHH KINH DOANH DỊCH VỤ TÙNG LỘC,4900914356,,0968532675,,Chi cục Thuế Huyện Cao Lộc,,,,
CÔNG TY TNHH THƯƠNG MẠI VẬN TẢI XÂY DỰNG QUỐC TRƯỞNG,QUOC TRUONG CONSTRUCTION TRANSPORT TRADING COMPANY LIMITED,"Số 1 đường Nguyễn Phi Khanh, Phường Tam Thanh, Thành phố Lạng Sơn, Tỉnh Lạng Sơn, Việt Nam",,,2024-08-30,Chi cục Thuế Thành phố Lạng Sơn,,Đang hoạt động (đã được cấp GCN ĐKT),
